# 2021-02-17, 17:05:24.641447
# fs = 1000 Hz, N = 12000
# NI 9201, 19.6.0
t,ai0
0.000000000,0.240695553
0.001000000,0.184128438
0.002000000,0.117276393
0.003000000,0.060709278
0.004000000,-0.011285232
0.005000000,-0.067852347
0.006000000,-0.139846857
0.007000000,-0.191271507
0.008000000,-0.252981087
0.009000000,-0.304405737
0.010000000,-0.350687922
0.011000000,-0.391827642
0.012000000,-0.422682432
0.013000000,-0.453537222
0.014000000,-0.484392012
0.015000000,-0.494676942
0.016000000,-0.499819407
0.017000000,-0.494676942
0.018000000,-0.494676942
0.019000000,-0.474107082
0.020000000,-0.458679687
0.021000000,-0.427824897
0.022000000,-0.381542712
0.023000000,-0.340402992
0.024000000,-0.294120807
0.025000000,-0.237553692
0.026000000,-0.175844112
0.027000000,-0.129561927
0.028000000,-0.067852347
0.029000000,-0.001000302
0.030000000,0.055566813
0.031000000,0.127561323
0.032000000,0.189270903
0.033000000,0.240695553
0.034000000,0.297262668
0.035000000,0.338402388
0.036000000,0.379542108
0.037000000,0.425824293
0.038000000,0.451536618
0.039000000,0.477248943
0.040000000,0.487533873
0.041000000,0.492676338
0.042000000,0.492676338
0.043000000,0.482391408
0.044000000,0.466964013
0.045000000,0.451536618
0.046000000,0.415539363
0.047000000,0.379542108
0.048000000,0.333259923
0.049000000,0.286977738
0.050000000,0.230410623
0.051000000,0.173843508
0.052000000,0.122418858
0.053000000,0.060709278
0.054000000,-0.011285232
0.055000000,-0.067852347
0.056000000,-0.129561927
0.057000000,-0.186129042
0.058000000,-0.247838622
0.059000000,-0.299263272
0.060000000,-0.345545457
0.061000000,-0.391827642
0.062000000,-0.422682432
0.063000000,-0.458679687
0.064000000,-0.484392012
0.065000000,-0.499819407
0.066000000,-0.504961872
0.067000000,-0.499819407
0.068000000,-0.499819407
0.069000000,-0.474107082
0.070000000,-0.458679687
0.071000000,-0.422682432
0.072000000,-0.386685177
0.073000000,-0.340402992
0.074000000,-0.288978342
0.075000000,-0.237553692
0.076000000,-0.180986577
0.077000000,-0.119276997
0.078000000,-0.057567417
0.079000000,0.004142163
0.080000000,0.065851743
0.081000000,0.127561323
0.082000000,0.184128438
0.083000000,0.245838018
0.084000000,0.297262668
0.085000000,0.343544853
0.086000000,0.379542108
0.087000000,0.425824293
0.088000000,0.456679083
0.089000000,0.477248943
0.090000000,0.487533873
0.091000000,0.492676338
0.092000000,0.497818803
0.093000000,0.482391408
0.094000000,0.477248943
0.095000000,0.446394153
0.096000000,0.415539363
0.097000000,0.379542108
0.098000000,0.333259923
0.099000000,0.281835273
0.100000000,0.235553088
0.101000000,0.178985973
0.102000000,0.117276393
0.103000000,0.050424348
0.104000000,-0.001000302
0.105000000,-0.067852347
0.106000000,-0.134704392
0.107000000,-0.191271507
0.108000000,-0.247838622
0.109000000,-0.299263272
0.110000000,-0.350687922
0.111000000,-0.391827642
0.112000000,-0.422682432
0.113000000,-0.458679687
0.114000000,-0.479249547
0.115000000,-0.494676942
0.116000000,-0.494676942
0.117000000,-0.504961872
0.118000000,-0.494676942
0.119000000,-0.479249547
0.120000000,-0.453537222
0.121000000,-0.422682432
0.122000000,-0.381542712
0.123000000,-0.335260527
0.124000000,-0.288978342
0.125000000,-0.237553692
0.126000000,-0.180986577
0.127000000,-0.119276997
0.128000000,-0.062709882
0.129000000,0.004142163
0.130000000,0.065851743
0.131000000,0.127561323
0.132000000,0.184128438
0.133000000,0.240695553
0.134000000,0.292120203
0.135000000,0.343544853
0.136000000,0.384684573
0.137000000,0.415539363
0.138000000,0.451536618
0.139000000,0.472106478
0.140000000,0.482391408
0.141000000,0.492676338
0.142000000,0.487533873
0.143000000,0.487533873
0.144000000,0.472106478
0.145000000,0.451536618
0.146000000,0.415539363
0.147000000,0.379542108
0.148000000,0.333259923
0.149000000,0.286977738
0.150000000,0.230410623
0.151000000,0.173843508
0.152000000,0.112133928
0.153000000,0.055566813
0.154000000,-0.006142767
0.155000000,-0.067852347
0.156000000,-0.124419462
0.157000000,-0.191271507
0.158000000,-0.247838622
0.159000000,-0.294120807
0.160000000,-0.340402992
0.161000000,-0.386685177
0.162000000,-0.432967362
0.163000000,-0.453537222
0.164000000,-0.484392012
0.165000000,-0.484392012
0.166000000,-0.504961872
0.167000000,-0.499819407
0.168000000,-0.489534477
0.169000000,-0.479249547
0.170000000,-0.453537222
0.171000000,-0.422682432
0.172000000,-0.376400247
0.173000000,-0.340402992
0.174000000,-0.294120807
0.175000000,-0.242696157
0.176000000,-0.175844112
0.177000000,-0.114134532
0.178000000,-0.062709882
0.179000000,-0.001000302
0.180000000,0.060709278
0.181000000,0.127561323
0.182000000,0.189270903
0.183000000,0.240695553
0.184000000,0.302405133
0.185000000,0.338402388
0.186000000,0.384684573
0.187000000,0.420681828
0.188000000,0.456679083
0.189000000,0.472106478
0.190000000,0.497818803
0.191000000,0.482391408
0.192000000,0.497818803
0.193000000,0.487533873
0.194000000,0.466964013
0.195000000,0.446394153
0.196000000,0.415539363
0.197000000,0.374399643
0.198000000,0.333259923
0.199000000,0.281835273
0.200000000,0.230410623
0.201000000,0.178985973
0.202000000,0.122418858
0.203000000,0.055566813
0.204000000,-0.011285232
0.205000000,-0.072994812
0.206000000,-0.129561927
0.207000000,-0.186129042
0.208000000,-0.242696157
0.209000000,-0.304405737
0.210000000,-0.350687922
0.211000000,-0.386685177
0.212000000,-0.427824897
0.213000000,-0.458679687
0.214000000,-0.474107082
0.215000000,-0.489534477
0.216000000,-0.504961872
0.217000000,-0.494676942
0.218000000,-0.489534477
0.219000000,-0.474107082
0.220000000,-0.453537222
0.221000000,-0.417539967
0.222000000,-0.381542712
0.223000000,-0.340402992
0.224000000,-0.294120807
0.225000000,-0.242696157
0.226000000,-0.175844112
0.227000000,-0.119276997
0.228000000,-0.057567417
0.229000000,0.009284628
0.230000000,0.060709278
0.231000000,0.122418858
0.232000000,0.189270903
0.233000000,0.245838018
0.234000000,0.297262668
0.235000000,0.338402388
0.236000000,0.389827038
0.237000000,0.420681828
0.238000000,0.446394153
0.239000000,0.482391408
0.240000000,0.487533873
0.241000000,0.502961268
0.242000000,0.492676338
0.243000000,0.487533873
0.244000000,0.472106478
0.245000000,0.451536618
0.246000000,0.415539363
0.247000000,0.384684573
0.248000000,0.333259923
0.249000000,0.286977738
0.250000000,0.230410623
0.251000000,0.184128438
0.252000000,0.112133928
0.253000000,0.060709278
0.254000000,-0.001000302
0.255000000,-0.072994812
0.256000000,-0.124419462
0.257000000,-0.186129042
0.258000000,-0.242696157
0.259000000,-0.304405737
0.260000000,-0.345545457
0.261000000,-0.381542712
0.262000000,-0.432967362
0.263000000,-0.453537222
0.264000000,-0.479249547
0.265000000,-0.494676942
0.266000000,-0.504961872
0.267000000,-0.499819407
0.268000000,-0.494676942
0.269000000,-0.479249547
0.270000000,-0.448394757
0.271000000,-0.417539967
0.272000000,-0.376400247
0.273000000,-0.340402992
0.274000000,-0.294120807
0.275000000,-0.237553692
0.276000000,-0.180986577
0.277000000,-0.124419462
0.278000000,-0.057567417
0.279000000,0.004142163
0.280000000,0.060709278
0.281000000,0.127561323
0.282000000,0.178985973
0.283000000,0.235553088
0.284000000,0.302405133
0.285000000,0.343544853
0.286000000,0.384684573
0.287000000,0.425824293
0.288000000,0.461821548
0.289000000,0.477248943
0.290000000,0.482391408
0.291000000,0.492676338
0.292000000,0.492676338
0.293000000,0.482391408
0.294000000,0.472106478
0.295000000,0.451536618
0.296000000,0.410396898
0.297000000,0.379542108
0.298000000,0.333259923
0.299000000,0.292120203
0.300000000,0.240695553
0.301000000,0.178985973
0.302000000,0.112133928
0.303000000,0.055566813
0.304000000,-0.011285232
0.305000000,-0.067852347
0.306000000,-0.124419462
0.307000000,-0.186129042
0.308000000,-0.247838622
0.309000000,-0.304405737
0.310000000,-0.345545457
0.311000000,-0.396970107
0.312000000,-0.427824897
0.313000000,-0.448394757
0.314000000,-0.484392012
0.315000000,-0.494676942
0.316000000,-0.504961872
0.317000000,-0.499819407
0.318000000,-0.489534477
0.319000000,-0.468964617
0.320000000,-0.453537222
0.321000000,-0.422682432
0.322000000,-0.376400247
0.323000000,-0.335260527
0.324000000,-0.288978342
0.325000000,-0.237553692
0.326000000,-0.180986577
0.327000000,-0.124419462
0.328000000,-0.062709882
0.329000000,0.004142163
0.330000000,0.060709278
