# 2021-02-17, 17:39:02.134925
# fs = 200 Hz, N = 256
# NI 9201, 19.6.0
t,ai0
0.000000000,0.528673593
0.005000000,0.240695553
0.010000000,-0.062709882
0.015000000,-0.371257782
0.020000000,-0.643808427
0.025000000,-0.849507027
0.030000000,-0.967783722
0.035000000,-1.003780977
0.040000000,-0.931786467
0.045000000,-0.777512517
0.050000000,-0.535816662
0.055000000,-0.252981087
0.060000000,0.070994208
0.065000000,0.374399643
0.070000000,0.636665358
0.075000000,0.847506423
0.080000000,0.970925583
0.085000000,0.991495443
0.090000000,0.914358468
0.095000000,0.765226983
0.100000000,0.528673593
0.105000000,0.245838018
0.110000000,-0.067852347
0.115000000,-0.371257782
0.120000000,-0.643808427
0.125000000,-0.844364562
0.130000000,-0.967783722
0.135000000,-0.998638512
0.140000000,-0.926644002
0.145000000,-0.772370052
0.150000000,-0.530674197
0.155000000,-0.247838622
0.160000000,0.065851743
0.165000000,0.364114713
0.170000000,0.636665358
0.175000000,0.842363958
0.180000000,0.965783118
0.185000000,0.996637908
0.190000000,0.924643398
0.195000000,0.765226983
0.200000000,0.528673593
0.205000000,0.245838018
0.210000000,-0.072994812
0.215000000,-0.376400247
0.220000000,-0.643808427
0.225000000,-0.849507027
0.230000000,-0.972926187
0.235000000,-1.003780977
0.240000000,-0.926644002
0.245000000,-0.767227587
0.250000000,-0.530674197
0.255000000,-0.247838622
0.260000000,0.065851743
0.265000000,0.369257178
0.270000000,0.641807823
0.275000000,0.842363958
0.280000000,0.960640653
0.285000000,1.001780373
0.290000000,0.929785863
0.295000000,0.765226983
0.300000000,0.528673593
0.305000000,0.240695553
0.310000000,-0.067852347
0.315000000,-0.371257782
0.320000000,-0.643808427
0.325000000,-0.844364562
0.330000000,-0.978068652
0.335000000,-0.998638512
0.340000000,-0.931786467
0.345000000,-0.767227587
0.350000000,-0.530674197
0.355000000,-0.242696157
0.360000000,0.070994208
0.365000000,0.374399643
0.370000000,0.641807823
0.375000000,0.842363958
0.380000000,0.965783118
0.385000000,0.996637908
0.390000000,0.924643398
0.395000000,0.765226983
0.400000000,0.533816058
0.405000000,0.235553088
0.410000000,-0.067852347
0.415000000,-0.381542712
0.420000000,-0.638665962
0.425000000,-0.854649492
0.430000000,-0.978068652
0.435000000,-1.003780977
0.440000000,-0.936928932
0.445000000,-0.772370052
0.450000000,-0.535816662
0.455000000,-0.247838622
0.460000000,0.060709278
0.465000000,0.364114713
0.470000000,0.641807823
0.475000000,0.837221493
0.480000000,0.965783118
0.485000000,0.991495443
0.490000000,0.919500933
0.495000000,0.765226983
0.500000000,0.528673593
0.505000000,0.245838018
0.510000000,-0.062709882
0.515000000,-0.371257782
0.520000000,-0.643808427
0.525000000,-0.849507027
0.530000000,-0.972926187
0.535000000,-1.003780977
0.540000000,-0.931786467
0.545000000,-0.777512517
0.550000000,-0.530674197
0.555000000,-0.242696157
0.560000000,0.065851743
0.565000000,0.369257178
0.570000000,0.636665358
0.575000000,0.837221493
0.580000000,0.970925583
0.585000000,0.991495443
0.590000000,0.924643398
0.595000000,0.765226983
0.600000000,0.533816058
0.605000000,0.240695553
0.610000000,-0.072994812
0.615000000,-0.371257782
0.620000000,-0.648950892
0.625000000,-0.849507027
0.630000000,-0.967783722
0.635000000,-1.003780977
0.640000000,-0.926644002
0.645000000,-0.772370052
0.650000000,-0.530674197
0.655000000,-0.252981087
0.660000000,0.055566813
0.665000000,0.369257178
0.670000000,0.636665358
0.675000000,0.847506423
0.680000000,0.960640653
0.685000000,0.991495443
0.690000000,0.924643398
0.695000000,0.765226983
0.700000000,0.518388663
0.705000000,0.240695553
0.710000000,-0.072994812
0.715000000,-0.371257782
0.720000000,-0.638665962
0.725000000,-0.849507027
0.730000000,-0.972926187
0.735000000,-0.998638512
0.740000000,-0.926644002
0.745000000,-0.767227587
0.750000000,-0.535816662
0.755000000,-0.242696157
0.760000000,0.060709278
0.765000000,0.374399643
0.770000000,0.636665358
0.775000000,0.842363958
0.780000000,0.970925583
0.785000000,0.991495443
0.790000000,0.924643398
0.795000000,0.765226983
0.800000000,0.533816058
0.805000000,0.240695553
0.810000000,-0.067852347
0.815000000,-0.366115317
0.820000000,-0.643808427
0.825000000,-0.844364562
0.830000000,-0.972926187
0.835000000,-0.998638512
0.840000000,-0.936928932
0.845000000,-0.777512517
0.850000000,-0.540959127
0.855000000,-0.247838622
0.860000000,0.065851743
0.865000000,0.369257178
0.870000000,0.636665358
0.875000000,0.842363958
0.880000000,0.965783118
0.885000000,0.991495443
0.890000000,0.919500933
0.895000000,0.760084518
0.900000000,0.528673593
0.905000000,0.240695553
0.910000000,-0.067852347
0.915000000,-0.366115317
0.920000000,-0.638665962
0.925000000,-0.849507027
0.930000000,-0.972926187
0.935000000,-0.998638512
0.940000000,-0.936928932
0.945000000,-0.772370052
0.950000000,-0.535816662
0.955000000,-0.247838622
0.960000000,0.065851743
0.965000000,0.374399643
0.970000000,0.636665358
0.975000000,0.842363958
0.980000000,0.965783118
0.985000000,0.991495443
0.990000000,0.919500933
0.995000000,0.765226983
1.000000000,0.533816058
1.005000000,0.245838018
